ds,cve_publicadas
2023-12-09,10
2023-12-10,9
2023-12-11,17
2023-12-12,103
2023-12-13,65
2023-12-14,85
2023-12-15,51
2023-12-16,9
2023-12-17,4
2023-12-18,31
2023-12-19,62
2023-12-20,80
2023-12-21,50
2023-12-22,50
2023-12-23,5
2023-12-24,5
2023-12-25,26
2023-12-26,35
2023-12-27,19
2023-12-28,33
2023-12-29,62
2023-12-30,16
2023-12-31,18
2024-01-01,8
2024-01-02,52
2024-01-03,44
2024-01-04,34
2024-01-05,21
2024-01-06,3
2024-01-07,7
2024-01-08,138
2024-01-09,93
2024-01-10,85
2024-01-11,53
2024-01-12,54
2024-01-13,14
2024-01-14,0
2024-01-15,27
2024-01-16,98
2024-01-17,17
2024-01-18,34
2024-01-19,50
2024-01-20,11
2024-01-21,7
2024-01-22,22
2024-01-23,70
2024-01-24,40
2024-01-25,25
2024-01-26,75
2024-01-27,7
2024-01-28,6
2024-01-29,44
2024-01-30,38
2024-01-31,43
2024-02-01,23
2024-02-02,59
2024-02-03,7
2024-02-04,6
2024-02-05,56
2024-02-06,76
2024-02-07,36
2024-02-08,55
2024-02-09,50
2024-02-10,4
2024-02-11,10
2024-02-12,34
2024-02-13,114
2024-02-14,62
2024-02-15,66
2024-02-16,27
2024-02-17,14
2024-02-18,22
2024-02-19,17
2024-02-20,68
2024-02-21,62
2024-02-22,60
2024-02-23,44
2024-02-24,1
2024-02-25,0
2024-02-26,46
2024-02-27,52
2024-02-28,57
2024-02-29,77
2024-03-01,46
2024-03-02,19
2024-03-03,10
2024-03-04,54
2024-03-05,44
2024-03-06,46
2024-03-07,43
2024-03-08,29
2024-03-09,9
2024-03-10,2
2024-03-11,60
2024-03-12,105
2024-03-13,60
2024-03-14,29
2024-03-15,49
2024-03-16,9
2024-03-17,9
2024-03-18,81
2024-03-19,60
2024-03-20,52
2024-03-21,82
2024-03-22,36
2024-03-23,7
2024-03-24,8
2024-03-25,39
2024-03-26,86
2024-03-27,122
2024-03-28,93
2024-03-29,70
2024-03-30,9
2024-03-31,27
2024-04-01,46
2024-04-02,66
2024-04-03,78
2024-04-04,58
2024-04-05,44
2024-04-06,16
2024-04-07,22
2024-04-08,54
2024-04-09,192
2024-04-10,83
2024-04-11,32
2024-04-12,39
2024-04-13,2
2024-04-14,1
2024-04-15,71
2024-04-16,93
2024-04-17,104
2024-04-18,49
2024-04-19,67
2024-04-20,1
2024-04-21,0
2024-04-22,40
2024-04-23,23
2024-04-24,52
2024-04-25,43
2024-04-26,56
2024-04-27,13
2024-04-28,13
2024-04-29,75
2024-04-30,55
2024-05-01,84
2024-05-02,62
2024-05-03,586
2024-05-04,4
2024-05-05,20
2024-05-06,69
2024-05-07,96
2024-05-08,44
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,344
2024-05-15,49
2024-05-16,83
2024-05-17,126
2024-05-18,12
2024-05-19,22
2024-05-20,39
2024-05-21,138
2024-05-22,55
2024-05-23,56
2024-05-24,33
2024-05-25,1
2024-05-26,5
2024-05-27,17
2024-05-28,84
2024-05-29,20
2024-05-30,43
2024-05-31,44
2024-06-01,7
2024-06-02,6
2024-06-03,36
2024-06-04,71
2024-06-05,23
2024-06-06,103
2024-06-07,32
2024-06-08,21
2024-06-09,29
2024-06-10,69
2024-06-11,95
2024-06-12,33
2024-06-13,88
2024-06-14,74
2024-06-15,8
2024-06-16,17
2024-06-17,34
2024-06-18,22
2024-06-19,88
2024-06-20,55
2024-06-21,34
2024-06-22,7
2024-06-23,2
2024-06-24,43
2024-06-25,79
2024-06-26,21
2024-06-27,59
2024-06-28,28
2024-06-29,7
2024-06-30,4
2024-07-01,69
2024-07-02,48
2024-07-03,18
2024-07-04,21
2024-07-05,34
2024-07-06,2
2024-07-07,3
2024-07-08,36
2024-07-09,287
2024-07-10,48
2024-07-11,37
2024-07-12,62
2024-07-13,9
2024-07-14,1
2024-07-15,28
2024-07-16,91
2024-07-17,33
2024-07-18,22
2024-07-19,25
2024-07-20,18
2024-07-21,11
2024-07-22,68
2024-07-23,25
2024-07-24,45
2024-07-25,22
2024-07-26,37
2024-07-27,4
2024-07-28,8
2024-07-29,88
2024-07-30,39
2024-07-31,44
2024-08-01,46
2024-08-02,36
2024-08-03,7
2024-08-04,2
2024-08-05,60
2024-08-06,107
2024-08-07,38
2024-08-08,31
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,118
2024-08-13,121
2024-08-14,76
2024-08-15,73
2024-08-16,25
2024-08-17,24
2024-08-18,22
2024-08-19,42
2024-08-20,94
